,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
441,eye,"[-0.0619698572991183, -0.099945293739438]","[-0.0098786884524575, -0.0391278566420718]",0.9530268969355081,1.0,0.0
442,eyes,[-0.0556544110586401],[-0.0247166708194588],1.0,,
443,fabric,[-0.2318750854465179],[-0.1272785022961137],1.0,,
444,face,[0.0614700970763806],[-0.0022353022048043],-1.0,,
445,faggot,[0.2321664546616375],[-0.127078938233258],-1.0,,
446,falsify,[0.3196683845599182],[0.1794467248010588],1.0,,0.0
447,family,"[-0.0279115834273397, 0.0089603210217319]","[0.0093157703975969, -0.0092797645874251]",-0.8902833763413163,-1.0,0.8325546111576977
448,famous,[0.1898106453008949],[-0.0047211091784883],-1.0,,
449,fancy,[-0.0074142043013125],[0.1301541798527241],-1.0,,
450,far,[0.0662872025277465],[0.0365138485589788],1.0,,0.0
451,farmer,"[0.0907767541939392, 0.0046345021182787]","[0.0659843783503408, -0.0585587788051507]",0.7131214705988028,1.0,0.1309074147585001
452,farmers,[0.0698631481500342],[0.0644988872329497],1.0,,0.0
453,fashion,[0.0836756490170955],[0.0397839697781373],1.0,,0.0
454,fat,"[0.1784433180000633, 0.018967599608004]","[0.1544627211329004, 0.0700228902073492]",0.9493221521541588,1.0,0.19337236005588523
455,father,[0.0421333185076946],[-0.0074073874471338],-1.0,,
456,fearful,[0.1244032501126639],[0.0543332433677204],1.0,,0.0
457,fed,[-0.1542932670563459],[-0.0051958756685101],1.0,,
458,field,[-0.092368289042497],[-0.0047180276494715],1.0,,
459,fiesty,[-0.0029417597688734],[-0.0431913548774535],1.0,,
460,figurative,[-0.0664751766016706],[0.0218378575970736],-1.0,,
461,filled,[0.013628197601065],[-0.0345829047973298],-1.0,,
462,film,[-0.105869954204536],[-0.0220277131764777],1.0,,
463,find,"[-0.0291278325021266, 0.1266853135603014]","[0.049406194428312, 0.0310032396886622]",0.3282142127296908,-1.0,0.5324409568086901
464,first,"[-0.0237629528855904, -0.0466607261914759]","[0.0020818481331708, 0.0330406582931397]",-0.9178720200449612,-1.0,0.7608593655518929
465,fixed,"[0.1118713225005194, -0.0509807746857404]","[0.0342773848719782, -0.007554217929098]",0.9778901861946109,1.0,0.0
466,flamboyant,[0.3497484660765622],[0.1194748880660621],1.0,,0.0
467,flat,[0.0317103736063775],[0.0249346422440416],1.0,,0.0
468,fleshy,[0.0127496776694897],[0.0409593001413974],1.0,,0.0
469,flying,[0.0779417790472507],[-0.0218898559422712],-1.0,,
470,follow,[0.0775153922731988],[0.0255016638422046],1.0,,0.0
471,food,"[-0.0483983590092975, -0.1310859233490191, 0.0722787654667627, -0.2535912953899242, -0.1936896938132122, -0.0141825414029881]","[-0.0432686991360246, -0.0432686991360246, 0.0376128003788229, -0.0496723612556976, -0.0213465540364808, 0.0582377467477865]",0.691935613863076,0.7308607722526217,0.28183945036178104
472,for,"[0.0150414714007638, 0.070330096874386, 0.054331850784365, -0.0476524601690471, -0.0529011266771703, 0.0218051046540495, 0.0537274536909535, 0.0977212628349661, -0.0396941094077192, 0.0728360856883227, 0.0438599161570891, -0.0030021798447705, 0.1032650060369633, -0.0231950996094383, -0.0043998975306749, 0.0527120317565277]","[-0.0215783526076912, -7.633003275207276e-05, 0.0286152095984896, -0.0454123845101914, -0.0283025267014559, 0.011070016724543, 0.0196143712539416, 0.0189347257520041, -0.0039298017828088, -0.0070446964191415, -0.0045142630172366, -0.0023305535315809, 0.0362112805639969, 0.0094952192219328, -0.0469196468940955, -0.038033299255657]",0.4129849983529712,0.5751020427080065,0.2576317954421074
473,forget,[-0.0710860663093626],[0.0007185849688545],-1.0,,
474,forking,[-0.1818776663276367],[-0.1758623142789391],1.0,,
475,free,[-0.090928551799152],[0.0042406075641607],-1.0,,
476,freedom,[-0.2341050737159093],[-0.0690876312999442],1.0,,
477,friend,"[-0.0300108618102967, -0.0751083328868844]","[-0.0286095039406932, 0.0006720637080403]",0.34913421625107605,-1.0,0.8325546111576977
478,friendly,"[-0.0728608448989689, -0.1320167512167245]","[-0.1024679120686344, -0.0622817622070337]",0.8676485669579658,-1.0,0.8325546111576977
479,friends,"[0.0358154093846678, -0.0939193349331617]","[0.001411751687346, -0.0428855129738128]",0.945583798495691,1.0,0.0
480,from,"[0.0643248198612127, 0.0540612749755382, 0.0230481670005247, 0.0427642036229372, 0.041818146710284, 0.066498082189355, 0.0360525124706327, -0.0064318131189793, 0.0151615712675265, 0.0746973780915141, -0.0269419271498918, -0.0106745646335184, 0.0205199623305816]","[-0.0230717496349563, 0.0339602260465167, 0.0446635288305631, 0.0311618303635701, 0.0364676396791914, -0.0377076604350911, -0.0131160758133793, 0.0492661230382616, -0.0087721700042507, -0.0651062700046393, -0.0435018497413266, 0.0525145212817331, -0.0017821816870133]",-0.1630662832440403,-0.3433153048121137,0.3534714497560133
481,full,[-0.0233292948687449],[-0.0606986508771818],1.0,,
482,furniture,[-0.0089840282453224],[0.005291355505482],-1.0,,
483,gang,[0.7159285304369405],[0.0731939624692484],1.0,,0.0
484,gaps,[-0.03749704756774],[0.0453661844476559],-1.0,,
485,gave,[0.2559833233244717],[0.0473860198694641],1.0,,0.0
486,gay,"[0.281506017781794, 0.1341224214993417]","[-0.0098683748359419, 0.0608324836737406]",0.2800117312115563,-1.0,0.5706956246439032
487,gentlemen,"[-0.0530804868321865, 0.098255225457251]","[0.0509805008686252, 0.1827972837623276]",0.7197933138267227,1.0,0.2868219825884569
488,german,[-0.0112183941528201],[-0.0130702856432896],1.0,,
489,germany,[0.0460325931780971],[0.0899420180114768],1.0,,0.0
490,gets,[0.1399760554777458],[0.0872679627944781],1.0,,0.0
491,girl,"[0.0020220698788762, -0.0013064634986221, -0.0694336420274339, -0.0703268931247294, 0.0564303679857403]","[-0.0232077990141242, 0.0021113278102102, 0.0115412128340348, 0.0081260445093159, -0.0118136728360386]",-0.6180453800680197,-0.7366576234843745,0.6065413783330188
492,girlfriend,[-0.0783568560218554],[-0.0603704125424801],1.0,,
493,girlfriends,[-0.0903231904376298],[-0.0335133942802415],1.0,,
494,goes,[-0.0538450381718575],[-0.0069026142999389],1.0,,
495,going,"[0.1931257541291415, 0.1113190603209659]","[0.0051528192875853, 0.097032329818483]",0.5446279547082662,-1.0,0.46306042322218344
496,gone,[0.1178434403409482],[0.0687056667661375],1.0,,0.0
497,good,"[0.0687829970847815, -0.1154201006283983, 0.0086959968321025, 0.0546492733992636]","[0.0184861110693771, 0.0354005274899592, 0.0280039098860539, 0.0280039098860539]",-0.1273108416805519,-0.860859653122395,0.3710107790056953
498,goofy,[-0.1854953705333173],[-0.1269614857489299],1.0,,
499,got,[0.0363110105972737],[0.0376910818516026],1.0,,0.0
500,government,"[-0.0223906121682375, 0.2599596763029694]","[0.0255449489667553, -0.018109943806864]",-0.6462213864007559,-1.0,0.8325546111576977
501,grandfather,[-0.0518706486327573],[-0.0678743416662959],1.0,,
502,great,[-0.0133644457091577],[0.0094527262782499],-1.0,,
503,green,[-0.2250813154678326],[-0.1513042531066378],1.0,,
504,greeted,[-0.0540067106485366],[0.0264040747768841],-1.0,,
505,groom,[-0.0678212725324556],[-0.0377645149698561],1.0,,
506,group,"[0.0068012711126357, 0.1485573630779981]","[0.0161318754284273, -0.0313426859313822]",-0.8672803830125881,-1.0,0.776082239630621
507,grow,[0.1251062861410901],[0.0886635403870783],1.0,,0.0
508,gruff,[0.3714347628410905],[0.1538645461642346],1.0,,0.0
509,guilty,[0.3912036102265119],[0.011635296142648],1.0,,0.0
510,had,"[0.0616017743595875, -0.0502912645461037, -0.0013061475474387, 0.008408013069129, 0.0164579078555107, 0.0465927429613657, -0.0064115871209651, 0.0389306570868939, -0.0876933851395733, 0.1947639409918338, -0.0154337833810132]","[0.0691263436697674, 0.0325362556248396, -0.0167759699113923, 0.0178288101071706, 0.0954052572535789, 0.0197629709888644, 0.0109658526691519, 0.0380875613450595, 0.0550723618218364, 0.0478509781672137, 0.0317041983090139]",0.29220006406943394,0.14560480297229278,0.32176090984723804
511,hair,"[-0.1055617331076064, 0.1653558576945215, -0.2760632147546857]","[-0.0818157072957603, -0.0384776724089369, -0.0763528940593007]",0.582675689555424,0.8732364208840251,0.37374681730685794
512,hairdresser,"[0.1051968818064779, 0.1180675909563433]","[-0.0236214214412739, 0.2010556676691967]",0.6639070971311941,1.0,0.4474354281629083
513,hairy,[0.4429061622358858],[0.1799580859465394],1.0,,0.0
514,happy,[-0.0322498152963817],[0.0261496973770284],-1.0,,
515,hard,[0.1101340244058519],[-0.0120102385168309],-1.0,,
516,harmony,[-0.2611285448801936],[-0.1055023570719522],1.0,,
517,has,"[0.0121053843759, -0.0182769880630075, -0.0531711706425994, 0.0763353384681977, -0.0021577584557235, 0.0312515600817278, 0.0421301248425152]","[0.0358655797646078, -0.0073692577630949, -0.0095868614143076, -0.0332317545152338, -0.0091804918881588, 0.0204320730749557, 0.0362883377264056]",0.10129963685965745,0.04614308789891343,0.37432952109726486
518,hate,[0.1187255722470581],[0.0502860985893716],1.0,,0.0
519,hated,[-0.0044913007513969],[-0.0572283776845317],1.0,,
520,hats,[0.0951400981478703],[0.0986229356068844],1.0,,0.0
521,have,"[-0.003573055146262, -0.0771517314715311, 0.1102891445043496, 0.0181037411093711, -0.0022287709871307, -0.0239954298303928, -0.0198992954101413, -0.075392638798803, -0.0662026912905275, 0.033816150156781, -0.0468812803737819]","[0.0154362616607155, -0.0460491667626977, 0.0090053139344716, 0.0255729688590953, -0.0707534615441663, -0.0412408321023095, 0.0172102776963706, 0.068438991698642, -0.0243963646312086, -0.0006811402287266, -0.0019424775188821]",0.10153322132547885,0.07389284960860423,0.3849424461441412
522,he,"[-0.0137449223548173, 0.0558882167097181, 0.0976769592816708, 0.0191385657526552, 0.0983356302604079, 0.0827832947543356, 0.255135349187185, 0.0389488539658486]","[0.00386295433223, 0.0300744409306572, 0.1173278032367742, 0.0458797908574931, 0.0109870147069094, 0.0192143974914948, 0.1072798327278291, 0.0504739159474967]",0.8366631456045133,0.6360362498253228,0.25589339092663277
523,heir,[0.0126348694902844],[0.0698080972793868],1.0,,0.0
524,help,[0.0066605489701032],[0.0334541022698211],1.0,,0.0
525,helped,[-0.1123256750870496],[-0.048569507328068],1.0,,
526,helpful,[-0.1102012644987553],[0.0333195579665545],-1.0,,
527,her,"[0.0219215233810246, -0.0308777044992893, 0.070733863976784, 0.1223879568278789, 0.00480951461941, -0.0567090646945871, -0.0400840826914645, 0.0029796864837408, 0.022025707134162, 0.0612005372531712]","[-0.0068678290208073, 0.0108070899443019, 0.0108070899443019, 0.0171601131825754, 0.0135901347343926, 0.042120867712142, 0.042120867712142, 0.0299452945362374, 0.0525002163294676, -0.0346865757333973]",-0.15004060883529083,-0.44273670585946956,0.4115488418087525
528,heritage,[-0.0213033156469464],[0.0114001983186628],-1.0,,
529,herself,[0.1208652695640921],[0.0237123602612192],1.0,,0.0
530,high,[0.0276767637624288],[-0.0056137564608917],-1.0,,
531,hill,[-0.0143289270345121],[-0.017905072779315],1.0,,
532,him,[0.3451426257379353],[0.0997477234398307],1.0,,0.0
533,hired,"[0.0623660604469478, 0.0014357846230268]","[-0.0033501768414098, -0.0462475031237649]",-0.09518734500259371,1.0,0.08867497282330897
534,his,"[0.0697949956374941, 0.0178428898070706, 0.0604203101247549, 0.128501231665723, 0.1903732290957123, 0.0975914523005485, 0.0601008534431457, 0.0026038414798676, 0.0032972929184325, 0.0307733236113563, -0.0024648141406942, 0.0343939754675375, 0.002663278763066, 0.0919043943285942, 0.0559596177190542, 0.1112800471601076, 0.2284495170897571]","[0.0170189334690125, 0.0182402631915299, 0.0202355338621148, -0.0176225099029008, -0.0176225099029008, 0.0128081651808944, 0.0081231128308212, -0.0061876137190676, -0.0061876137190676, -0.0061876137190676, 0.0151797275821707, 0.0244681068996179, 0.0606950315517638, 0.0082014187495617, 0.0052668985659593, 0.0165082488756371, 0.0087794841384086]",0.137459306561985,-0.3462311796108366,0.46469659419010967
535,hispanics,[0.302255273796618],[-0.0083543378660271],-1.0,,
536,historian,[0.1031931625911966],[0.0125340632993123],1.0,,0.0
537,history,[0.0325004337937571],[-0.0094612599545878],-1.0,,
538,home,[-0.0018464491004124],[0.0027269419438057],-1.0,,
539,homework,"[0.0512221520766615, 0.2066103126853704]","[0.0434747255379832, 0.0434747255379832]",0.856481996062172,,0.22624321260385252
540,hospitality,[-0.1814006061758846],[-0.0046423996627336],1.0,,
541,host,[-0.1078112716786563],[0.0292965237464147],-1.0,,
542,hostile,[0.5585155689623207],[0.0726613801774003],1.0,,0.0
543,hot,[0.18440454127267],[0.180288984781077],1.0,,0.0
544,housed,[0.0311745277213049],[-0.0361833316863767],-1.0,,
545,housekeeper,[0.1701651848852634],[-0.0413515692358413],-1.0,,
546,how,[0.0852287464076653],[0.0041544122363845],1.0,,0.0
547,huge,[-0.0065846268844325],[-0.0270994612458759],1.0,,
548,hypocracy,[0.1046673953533172],[-0.0092216007636952],-1.0,,
549,i,"[-0.0371182870585471, -0.0016114569734781, -0.0459449135232716, 0.0245936908759176, -0.0143450919422321, -0.0785600952804088, 0.0327175217389594]","[0.0336493140126987, 0.0080171454262979, 0.0080171454262979, 0.0193112465509713, -0.0164269066365416, 0.0398810438124849, 0.0279331379340501]",-0.4468438543120809,-0.2342257097149094,0.39984130080526675
550,iPhone,[-0.1356051350376219],[-0.1035179910608972],1.0,,
551,ice,[-0.0997641349240439],[-0.0992120226142422],1.0,,
552,immediately,[-0.0010617412626743],[-0.0098804438051408],1.0,,
553,immigrants,"[0.0837490913690999, 0.1214949169661849]","[0.0278855855911144, 0.0278855855911144]",0.9835063185326991,,0.06534576007685718
554,impoverished,[0.3006470794789493],[0.0270601288953071],1.0,,0.0
555,in,"[-0.0569995350670069, 0.0776241070125252, -0.0116897153202444, 0.0048785243416205, -0.0207951298798434, -0.0195417345385067, 0.0449690870591439, -0.0111787366186035, -0.0525288628414273, -0.0244762037182226, 0.0159661236102692, 0.0194691140204668, -0.0322937325108796, -0.0388351213186979, -0.0366448622662574, -0.0112416803603991, 0.1014446235494688, 0.0288572441786527, -0.0147792273201048, 0.0388704249635338, -0.0424799640313722, 0.0029285785276442, 0.1487391977570951, 0.0450017019757069, 0.1098633795045316, 0.1484155976795591, 0.1256821138376835, 0.0559733803384006, 0.0093682277947664, -0.0538350099232047, -0.0157806747884023, 0.0057492344640195, 0.0206014705181587, 0.0080879771558102, -0.0099085733527317, -0.0130136907100677, -0.0011824470711871, 0.0036870417534373, 0.0094234715215861, -0.0503947964170947, 0.0461960649117827, 0.0784849943593144, 0.0077109945996198, -3.141228808090091e-05, 0.0094095416279742, 0.0077195517951622, 0.0191965752892429, -0.0248026918634423, 0.0023334507095569, 0.0026570737973088, 0.0512460522586479, -0.0079932193621061, -0.0029687952192034, 0.000803524206276, -0.0568018183112144, 0.1311887863921583, -0.0600729444995522]","[0.0284033277562601, 0.0728664789578943, -0.0035225255227634, 0.0692734919855425, -0.0187368676646549, 0.0256996988478243, 0.0087068566370205, 0.0087068566370205, -0.0004569293355467, 0.0538720045019546, 0.0300964256389003, -0.0213527797637917, -0.006018433316541, 0.0251606325586445, -6.534711657167435e-05, -0.011835597855298, -0.0473406561194189, -0.0233476459832301, 0.0245604416626798, 0.0505650783695985, -0.0168208653170333, 4.14600662840914e-05, 0.000656474612044, -0.0128285442521939, -0.0091073191904851, 0.0190902428550567, 0.0103041423651491, -0.0253326735349976, -0.016537698464205, 0.047365986133875, -0.0206022907324026, 0.0315515157287226, -0.0031086456224666, 0.0047716752272133, 0.0201540330600187, -0.0087089979593069, -0.0241631123062959, -0.0241631123062959, -0.0026958321429349, -0.0616707561990424, 0.0394922701282108, 0.0072048168449559, 0.0032293835866633, 0.0085431158793671, 0.0008909222337698, 0.0008909222337698, 0.0002451009008117, -0.0065751235015582, -0.0129504151947391, -0.0051395575091937, -0.0137902633721325, -0.0052644975191418, -0.0052644975191418, 0.0206974061039027, -0.0155039591211189, 0.1027869272975755, -0.0367517656636735]",0.22947191645091675,0.2008944250345594,0.26745894393117176
556,india,[-0.1477826387854293],[-0.0789305718270484],1.0,,
557,indonesia,[0.0014535803347826],[0.0038485814499041],1.0,,0.0
558,inedible,[0.00036614947021],[-0.0104702340925032],-1.0,,
559,influences,[0.0198802601662464],[-0.0203398487289331],-1.0,,
560,infrastructure,[0.0746344825747655],[-0.0944183037246877],-1.0,,
561,innocent,[0.1228811498731374],[0.0248327463365364],1.0,,0.0
562,intellectual,[0.106546442839317],[0.0010836268541697],1.0,,0.0
563,intelligent,[0.0922710572485812],[0.0624446544329153],1.0,,0.0
564,intersections,[-0.1001760008875862],[-0.0366626811911256],1.0,,
565,into,"[-0.1246798309148289, 0.0516069557343144]","[0.0158052415984221, 0.0589389463613724]",0.13007647645541742,1.0,0.28204689387283427
566,investigation,[0.0153501296881586],[0.0334718118921649],1.0,,0.0
567,involved,[0.1953872703015804],[0.089768084972721],1.0,,0.0
568,iran,[0.0081488257274031],[-0.0721918049724376],-1.0,,
569,iraq,[-0.1460905489511788],[-0.1475124651037484],1.0,,
570,is,"[-0.0602735148277133, 0.0134363782126456, -0.0328997084870934, -0.0286844867514446, 0.0249203903076704, -0.0087244630558416, 0.0281671441625803, -0.1018947772681713, 0.0671271658502519, -0.0006826633471064, -0.0164422476664185, -0.0888500213623046, -0.0204934924840927, 0.0039247202221304, -0.0198930536862462, 0.0375796146690845, -0.0607154564931988, 0.0041883191443048, 0.0169431855902075, -0.0235539295244961, -0.0562859908677637, -0.022813107818365, -0.0058005320024676, -0.0481611636932939, -0.0324133560061454, -0.0342795522883534, -0.01825107896002, -0.0147984984214417, -0.0149211046518757, -0.0349219273775815, 0.0041450941935181, -0.0068766701733693, -0.0313123539090156, -0.0987884923815727, -0.0059541228692978, 0.1103590484708547, -0.0031061341287568, 0.0056008534738793, -0.056019798386842, -0.045010827248916, 0.0187788413022644, -0.017684296995867, -0.0201563171576708, -0.0732820213306695, -0.0090630037011578, -0.0896766462828964, -0.0177974803373217, 0.0696101591456681, -0.0072211941151181, -0.0043672811007127, -0.0605698078870773, -0.0959246354177594, 0.0192751608556136, -0.010924733011052, 0.0147606641985476, -0.0330696690361946, -0.0120152108866022, -0.0496645651801372, 0.0059558089269557, 0.0026035764312837, -0.0221996011750889, -0.1414946143049746, 0.0108751020306954, 0.0009724455376272, -0.0209662640991155, 0.0032409742416348, -0.0550603239389602, -0.0063192820889526, -0.0390568482398521, -0.0377737187664024, 0.0246624713763594, -0.082195448456332, 0.0647777060512453, -0.0229775014449842, 0.0210158214904367, -0.066376615781337, 0.1318717745598405, 0.0488890269771218, -0.0147803426734753, -0.0857024146243929, 0.0168396262452006, -0.067488404456526, 0.0583425681106746, -0.0197147605940699, 0.0032216128893196]","[0.0183243599226889, -0.0107512508933957, -0.0024313559641372, 0.0567874212560778, 0.0082041950327536, -0.0179337003617929, 0.150403554796577, -0.0658623092858659, 0.0278332173507542, -0.0034400067186176, 0.0355265718162365, 0.0355265718162365, -0.0153971320906558, 0.0107466965874148, -0.0129594992657866, 0.0307121284623319, 0.0253152587527933, 0.0169744558199965, -0.0029347403993839, 0.0648656662239942, -0.0714321014423016, -0.0279493605699014, 0.0487213742540056, 0.0332209947263879, 0.0332209947263879, 0.0875030904347218, -0.023269867743291, -0.023269867743291, 0.0428743248219147, 0.0660346326081428, -0.0103187612810761, -0.0818214291535138, -0.001589574152983, 0.032553594242977, 0.032553594242977, -0.0078222420673882, 0.0171057738383108, 0.0338585976346717, 0.0338585976346717, -0.0101035021157666, -0.0098551044575237, -0.0020379730315079, 0.0090090419346703, 0.0069513209868332, -0.0314205874741149, -0.0314205874741149, 0.0759336662956299, 0.0158050855237091, 0.0158050855237091, -0.0046237497126098, -0.0093988659567742, 0.0136036973173906, -0.0047813984539739, 0.0120267602500277, 0.0567426958955621, 0.0567426958955621, 0.0371591383067979, 0.0140023838858194, -0.0072037997272585, 0.0011249324807933, -0.0016931337486579, -0.0012095367243576, 0.0152893554234079, 0.0059290712338277, -0.10338181751468, 0.0126274539989022, 0.0088639957728871, 0.0088639957728871, 0.0055118706135345, -0.0120169798019574, 0.0137361678077714, 0.0025038166284655, 0.1071616040942246, 0.0414205411397027, 0.0414205411397027, -0.000749314822997, 0.0313700284496311, 0.0641215418210962, -0.0278570257257816, -0.0527405706047125, -0.0187663359100104, -0.0197279342422098, 0.1402569701432693, 0.0112612689783313, 0.0015391583326384]",0.1532915849225476,0.2769231223148089,0.16645782058278769
571,it,"[0.0494338073767721, 0.0280378593597561, 0.0115731470286846, 0.0318268461269326, -0.0487107847584411, 0.0204024855047464, 0.0049185801799467, 0.0662026759237051]","[0.0176473025074876, 0.0583800203375039, 0.0104387173960389, 0.0529095119277113, 0.0027071171014492, 0.0189044925451198, 0.0071119489784497, 0.024160808617055]",0.6601711920537082,0.4562262766729477,0.23496433205682862
572,italian,[0.1082688203314319],[0.0570997363041869],1.0,,0.0
573,its,"[0.0344140166416764, 0.0283128825831227, 0.0003840802819468, 0.0145379072346258, 0.0136668191989883, 0.0134937592956703]","[0.027733929406178, 0.1024210426251666, -0.0373846485359865, 0.0078598044029057, 0.0078598044029057, 0.0307009259000166]",0.7542219608887564,0.7359098503774257,0.142777329012794
574,janitor,"[0.0681680965935811, 0.1134190521406708]","[-0.0125209586782745, 0.0007281953818485]",-0.46451142025892433,1.0,0.3898561623099505
575,job,"[-0.0179545413702726, 0.1334390091360546, -0.0279680849052965, -0.0119801867986097, -0.0072448254250048]","[0.0241364347195488, -0.0032963503618313, 0.0581081099591109, 0.0191248416647954, -0.0200103143506619]",-0.27148312576840683,-0.45636177732983674,0.6276156609244761
576,join,[-0.0726414417731575],[-0.0298852194663524],1.0,,
577,joined,[0.0148350833915174],[-0.0008664840905115],-1.0,,
578,just,"[0.1041714702732861, 0.0090812323614954, 0.0094701540656387, 0.0500426625367254, 0.0049893395043909, -0.0125824771821498, 0.0210431182640604, 0.0301893837749958, -0.0365278297103941]","[0.0140589512900377, 0.0361035375494679, 0.017485538036257, -0.0282790567779865, -0.0131379573196422, 0.0021344408222928, 0.0126835979322502, 0.0387670115788761, -0.021502876962074]",0.29789796811207736,0.1979133324720355,0.32539368003903757
579,keep,[-0.160800545476377],[-0.0249222239758596],1.0,,
580,kept,[-0.066502186236903],[0.003552682407378],-1.0,,
581,key,[-0.1881816051900386],[-0.1589367407361516],1.0,,
582,keyboard,[-0.0855569494597148],[-0.1033547680146352],1.0,,
583,kid,"[-0.0690284189768135, -0.0444369728502351]","[-0.0031235302429755, -0.001965345492482]",0.999946441628274,1.0,0.0
584,kind,[0.0640722248936072],[-0.0141024626569511],-1.0,,
585,knife,[-0.1972267846867907],[-0.2270878580207913],1.0,,
586,know,"[0.175644721603021, 0.0676892308983951, 0.0600016778334975, 0.2764809055224759, 0.128039704170078, 0.1326533055398613]","[0.0746395872323113, 0.0415079084405643, -0.0552230986719844, 0.0736555173661076, 0.0036167850199213, -0.009697924000384]",0.6599388548201758,0.6933118939515392,0.2177297498813715
587,known,"[0.018221341073513, 0.0658781771780923, 0.1201717068906873, 0.062437513959594, 0.0522143298876471, 0.0498465641867369, 0.0159061080776155, 0.0496696404879912, 0.1172538540267851, 0.0173044893308542]","[0.0440915778957843, 0.0028132891152688, 0.0181656765462098, 0.0421994112396017, 0.0421994112396017, -0.0022088052840304, -0.0396687225545074, -0.0023850179115807, -0.0282284227976881, 0.0259456773476968]",0.21439190067452732,-0.1574036118475675,0.3326173705770234
588,lab,[0.0595224067801609],[0.0241274145370405],1.0,,0.0
589,laborers,[0.06168914004229],[0.0587637608105796],1.0,,0.0
590,lacking,[0.4416696690022945],[0.0376106407079394],1.0,,0.0
591,ladies,"[0.1054557971656322, 0.0232740691863]","[0.0372938017228636, 0.0801616782281238]",0.6073068639191426,-1.0,0.36739735582390753
592,landscape,[-0.2200787814217619],[-0.0253995328699371],1.0,,
593,language,"[0.124786248197779, 0.003129728775093]","[1.825697348559177e-05, -0.0119933507574615]",-0.02355102721652359,1.0,0.09249539242495654
594,large,"[-0.037621034309268, -4.3324405851308256e-05]","[-0.0185807013578862, 0.004143625255832]",0.9757732923099802,1.0,0.0
595,largest,[-0.0266455274904728],[-0.0273274893759371],1.0,,
596,late,[0.1207589900586754],[0.116133091158377],1.0,,0.0
597,latest,[-0.0248182882460241],[-0.0245713993018914],1.0,,
598,laughing,[-0.0144608304835855],[0.0494424555437181],-1.0,,
599,law,"[0.0409202755545266, 0.0223191445256816]","[0.0057092686822239, -0.0011992510882069]",0.7607223290138909,1.0,0.3759923829856066
600,lawyer,[0.0514240097254514],[-0.0374508578286615],-1.0,,
601,leader,[-0.003162288950989],[-0.0270797460287601],1.0,,
602,learned,[0.0288021103478968],[0.0197504932709933],1.0,,0.0
603,least,[-0.0002236820291727],[-0.0192681956332369],1.0,,
604,lebanese,[-0.0231763217598199],[-0.0170407544228345],1.0,,
605,led,[-0.0166813684627413],[0.0083193421216771],-1.0,,
606,leoneans,[0.0316822237800806],[0.0270929102447722],1.0,,0.0
607,less,[0.0370368094881996],[0.1271411973608427],1.0,,0.0
608,letting,[-0.0121917212381958],[-0.0351701637470283],1.0,,
609,level,[-0.0564565886743366],[-0.0411858329897686],1.0,,
610,lgbtq,[0.2256695321993902],[0.0704166146001056],1.0,,0.0
611,liberal,[0.0145522085949778],[0.0013942683423766],1.0,,0.0
612,life,[0.0119811667827889],[0.0321057506826183],1.0,,0.0
613,like,"[-0.0089518862077966, -0.139115291647613, 0.0560854380019009, 0.0711799511627759, -0.0297083391342312, 0.054770690134319]","[0.0314784068816949, -0.0054843334624563, 0.0232390874436091, -0.013159630317289, 0.0155024575510992, -0.0056585484216194]",0.00972640262164988,0.006195882934910246,0.4050475944167923
614,limited,[0.1811252253246493],[0.1844103507038137],1.0,,0.0
615,linage,[-0.046940614178311],[-0.084536649648236],1.0,,
616,little,[0.0232031551422551],[0.002458673017725],1.0,,0.0
617,live,"[-0.0523024755530059, -0.018984671565704, -0.0088149609509855, -0.0430974767077714, -0.07583585428074]","[0.0553168156244721, -0.0170170118833329, -0.0434687290725804, 0.0226180139756988, 0.0184518017747506]",-0.562814141676756,-0.7669023456615435,0.5280451517115315
618,lived,"[-0.0100579729769378, 0.0288191307336092]","[-0.0127152779816983, 0.0141453369283873]",0.9224485366120713,1.0,0.0
619,llamas,[0.0545611908310093],[-0.0246920375031093],-1.0,,
620,local,[-0.0808699605695437],[0.0440887980966881],-1.0,,
621,lot,[0.0178687626030296],[0.0076874862526706],1.0,,0.0
622,loud,[0.6613095025531948],[0.0442356871963693],1.0,,0.0
623,love,"[0.051112778353854, -0.0843167870771139]","[0.2008974029731683, 0.0169196800504121]",0.44479300977091657,1.0,0.16645182831131178
624,loved,"[-0.3628647672012448, -0.0403066277503967]","[-0.1814185852083, 0.0158238770225442]",0.980535013343612,1.0,0.0
625,loving,[0.3019683526363224],[0.1820461433110195],1.0,,0.0
626,made,"[0.0474439370445907, -0.0070744937402196, 0.059446310828207]","[0.061562966123171, -0.0117000674613057, 0.0080387339939351]",0.7213982560024165,0.5785053372960416,0.24888058313408895
627,magnificent,[-0.0847126867738552],[-0.0052424228125938],1.0,,
628,maid,[-0.1141660921275615],[0.0027946898844823],-1.0,,
629,main,"[0.0884072005283087, -0.0390583597472868]","[0.0781028679625128, -0.009317126555198]",0.9561360215319676,1.0,0.0
630,mainly,"[0.0562066301936283, 0.0663529622834175]","[0.0302878389978383, 0.1150507655026012]",0.9024453686527704,1.0,0.18936937113012486
631,majority,[-0.064971589948982],[-0.0191641355709519],1.0,,
632,make,"[0.0384788766968995, -0.030202176880266]","[-0.0210351701733192, 0.0095838164477199]",-0.9718212041151503,-1.0,0.8325546111576977
